City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Pisco,PE,2020-08-21 00:48:27,-13.7,-76.22,63.0,77,0,11.41
242,Esperance,AU,2020-08-21 00:48:27,-33.87,121.9,50.0,100,8,4.7
243,Russell,US,2020-08-21 00:48:27,32.35,-85.2,75.2,83,20,4.7
244,Lompoc,US,2020-08-21 00:47:36,34.64,-120.46,68.0,64,90,12.75
245,Kavieng,PG,2020-08-21 00:48:27,-2.57,150.8,83.95,74,35,8.84
246,Sitka,US,2020-08-21 00:48:27,57.05,-135.33,69.8,49,40,17.22
247,Chifeng,CN,2020-08-21 00:48:27,42.27,118.96,66.33,41,0,2.06
248,Alofi,NU,2020-08-21 00:48:27,-19.06,-169.92,84.2,74,75,9.17
249,Semey,KZ,2020-08-21 00:48:27,50.41,80.23,50.0,66,74,2.66
250,Mahanoro,MG,2020-08-21 00:48:27,-19.9,48.8,65.1,88,9,3.53
251,Mapiripan,CO,2020-08-21 00:48:28,2.89,-72.13,76.39,86,94,3.83
252,Tolaga Bay,NZ,2020-08-21 00:48:28,-38.37,178.3,62.4,57,0,12.33
253,Broome,US,2020-08-21 00:48:28,42.25,-75.83,66.2,52,1,4.7
254,Camacha,PT,2020-08-21 00:48:28,33.08,-16.33,73.4,88,40,10.29
255,Ilhabela,BR,2020-08-21 00:48:28,-23.78,-45.36,64.49,88,100,7.49
256,Suzhou,CN,2020-08-21 00:48:28,31.31,120.62,86.0,59,15,9.55
257,Batticaloa,LK,2020-08-21 00:48:28,7.71,81.69,78.58,79,72,7.38
258,Tomatlan,MX,2020-08-21 00:48:28,19.93,-105.25,80.02,78,99,3.62
259,Sao Felix Do Xingu,BR,2020-08-21 00:48:28,-6.64,-51.99,78.44,33,0,1.19
260,Qui Nhon,VN,2020-08-21 00:48:28,13.77,109.23,80.29,75,87,3.38
261,Mantua,IT,2020-08-21 00:48:28,45.17,10.78,73.99,84,0,1.99
262,Gravdal,NO,2020-08-21 00:48:28,68.12,13.5,49.32,76,98,8.3
263,Bozoum,CF,2020-08-21 00:48:29,6.32,16.38,68.0,95,100,2.26
264,North Bend,US,2020-08-21 00:48:29,43.41,-124.22,75.99,73,90,14.99
265,Codrington,AU,2020-08-21 00:48:29,-38.27,141.97,49.14,78,100,21.36
266,Buala,SB,2020-08-21 00:48:30,-8.14,159.59,85.95,64,60,0.69
267,Marzuq,YE,2020-08-21 00:48:30,14.4,46.47,80.62,53,88,5.55
268,Yuanli,TW,2020-08-21 00:48:30,24.44,120.65,88.0,79,40,5.82
269,Klaksvik,FO,2020-08-21 00:48:30,62.23,-6.59,53.6,93,99,2.24
270,Bandarbeyla,SO,2020-08-21 00:48:30,9.49,50.81,76.37,78,0,28.16
271,Coquimbo,CL,2020-08-21 00:48:30,-29.95,-71.34,50.0,93,0,3.18
272,Oussouye,SN,2020-08-21 00:48:30,12.48,-16.55,78.8,94,40,9.17
273,Calvinia,ZA,2020-08-21 00:48:30,-31.47,19.78,46.15,57,0,6.42
274,Kimbe,PG,2020-08-21 00:48:30,-5.55,150.14,90.41,49,0,2.42
275,Pangnirtung,CA,2020-08-21 00:44:35,66.15,-65.71,52.99,63,0,2.84
276,Sola,VU,2020-08-21 00:48:30,-13.88,167.55,86.0,74,75,11.39
277,Srednekolymsk,RU,2020-08-21 00:48:30,67.45,153.68,45.37,57,100,10.94
278,Lobito,AO,2020-08-21 00:48:30,-12.35,13.55,69.03,87,76,5.75
279,Port Macquarie,AU,2020-08-21 00:45:25,-31.43,152.92,64.0,47,9,1.99
280,Avera,US,2020-08-21 00:44:20,33.19,-82.53,77.0,61,40,5.82
281,Uthal,PK,2020-08-21 00:48:31,25.81,66.62,83.5,78,100,1.23
282,Nivala,FI,2020-08-21 00:48:31,63.92,24.97,55.99,89,0,3.24
283,Sibolga,ID,2020-08-21 00:48:31,1.74,98.78,80.55,78,74,1.05
284,Laguna,US,2020-08-21 00:44:45,38.42,-121.42,91.4,25,90,4.7
285,Seoul,KR,2020-08-21 00:47:14,37.57,126.98,82.4,74,90,3.06
286,Mpika,ZM,2020-08-21 00:48:31,-11.83,31.45,59.47,72,0,11.07
287,Inirida,CO,2020-08-21 00:48:31,3.87,-67.92,76.78,86,27,2.01
288,Sisimiut,GL,2020-08-21 00:47:18,66.94,-53.67,51.1,72,0,3.6
289,Mokhsogollokh,RU,2020-08-21 00:48:31,61.47,128.92,59.54,49,0,4.88
290,Asau,RO,2020-08-21 00:48:32,46.43,26.4,57.0,99,0,4.38
291,Rawlins,US,2020-08-21 00:48:32,41.79,-107.24,69.8,43,20,32.21
292,Torbay,CA,2020-08-21 00:44:46,47.67,-52.73,64.0,77,5,14.99
293,Xiaoweizhai,CN,2020-08-21 00:48:32,26.19,107.51,69.15,94,100,3.91
294,Vila Velha,BR,2020-08-21 00:48:19,-20.33,-40.29,73.4,83,75,10.29
295,Nanortalik,GL,2020-08-21 00:48:32,60.14,-45.24,45.01,74,0,0.94
296,Abu Samrah,SY,2020-08-21 00:48:32,35.3,37.18,66.45,83,0,9.84
297,Coos Bay,US,2020-08-21 00:48:32,43.37,-124.22,78.01,73,90,14.99
298,Flinders,AU,2020-08-21 00:48:32,-34.58,150.86,61.0,52,100,11.99
299,Ashtabula,US,2020-08-21 00:45:41,41.7,-80.77,69.01,85,0,1.32
300,Payo,ID,2020-08-21 00:48:32,-3.75,103.64,79.88,71,50,1.81
301,Anadyr,RU,2020-08-21 00:48:33,64.75,177.48,60.8,48,100,11.18
302,Harrison,US,2020-08-21 00:48:33,30.41,-89.04,80.6,69,20,6.93
303,Yenagoa,NG,2020-08-21 00:48:33,4.92,6.26,74.86,89,100,7.58
304,Santa Luzia,BR,2020-08-21 00:48:33,-19.77,-43.85,73.4,69,79,13.87
305,Banda Aceh,ID,2020-08-21 00:48:33,5.56,95.32,80.87,76,94,4.21
